OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3455478,04092013910,Devils Ridge Golf Club,5107 Linksland Dr ,,HOLLY SPRINGS,NC,27540,(919) 557-6100,2003/10/10 04:00:00+00,Restaurant,4085,-78.80138176,35.65562662,M,
3455479,04092021229,Dominos Pizza #4493,143-B S White St ,,WAKE FOREST,NC,27587,(919) 554-1155,2003/10/06 04:00:00+00,Food Stand,4087,-78.50951591,35.9782408,M,
3455480,04092013915,Bonefish Grill,2060 Renaissance Park Pl,,CARY,NC,27513,(919) 677-1347,2003/10/22 04:00:00+00,Restaurant,4093,-78.77115668,35.82699559,M,
3455481,04092021233,WalMart Supercenter #5118 Deli,10050 Glenwood Ave,,RALEIGH,NC,27617,(919) 596-5790,2003/10/27 04:00:00+00,Food Stand,4099,-78.77801283,35.91234265,M,
3455482,04092013595,Goodberry's #12,9870 Leesville RD ,,RALEIGH,NC,27613-7536,(919) 847-0453,2002/05/24 04:00:00+00,Restaurant,3661,-78.72831124,35.90770957,M,
3455483,04092021235,Sam's Club #8223 Deli/Rotisserie,2537 S Saunders St ,,RALEIGH,NC,27603,(919) 839-1700,2003/10/27 04:00:00+00,Food Stand,4110,-78.64662048,35.75036893,M,
3455484,04092013932,Carolina Ale House,4512 Falls Of Neuse Rd ,,RALEIGH,NC,27609,(919) 431-0001,2003/11/05 05:00:00+00,Restaurant,4131,-78.61261997,35.8431939,M,
3455485,04092013627,China Wok,2753 NC Hwy 55,,CARY,NC,27519,(919) 387-9599,2002/07/19 04:00:00+00,Restaurant,3720,-78.87109717,35.78605676,M,
3455486,04092013935,PAPA JOHN'S ,238 Grande Heights Dr ,,CARY,NC,27511,(919) 462-1441,2003/11/13 05:00:00+00,Restaurant,4138,-78.78057485,35.80470293,M,
3455487,04092013938,Quiznos Sub # 91,6605 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 676-1909,2003/11/13 05:00:00+00,Restaurant,4140,-78.62444739,35.87396657,M,
3455488,04092021245,Food Lion #2504 Deli ,1030-125 N Rogers Ln ,,RALEIGH,NC,27610,(919) 792-0321,2003/12/12 05:00:00+00,Food Stand,4174,-78.54837151,35.79167791,M,
3455489,04092300220,Food Lion #2504 Meat Market ,1030-125 N Rogers Ln ,,RALEIGH,NC,27610,(919) 792-0321,2003/12/12 05:00:00+00,Meat Market,4182,-78.54837151,35.79167791,M,
3455490,04092110142,Millbrook Elem. Sch. Cafeteria,1520 E Millbrook Rd ,,RALEIGH,NC,27609,(919) 850-8700,2004/01/02 05:00:00+00,Public School Lunchrooms,4193,-78.61055165,35.84879257,M,
3455491,04092160001,CHATHAM COMMONS - CARY REST HOME FOODSERVICE,809 W CHATHAM St ,,CARY,NC,27511,(919) 469-9309,2003/03/06 05:00:00+00,Institutional Food Service,4200,-78.79327717,35.78204051,M,
3455492,04092013967,FEI Huang Restaurant at A&C ,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 661-0573,2004/01/06 05:00:00+00,Restaurant,4207,-78.65148932,35.73682477,M,
3455493,04092013971,Mac's Tavern,1014 Ryan Rd,,CARY,NC,27511,(919) 467-4114,2004/01/09 05:00:00+00,Restaurant,4222,-78.76677184,35.77674902,M,
3455494,04092040134,New York Style Hot Dogs (WCID #621),300 Fayetteville ST ,,RALEIGH,NC,27602,(919) 332-9385,2004/01/28 05:00:00+00,Pushcarts,4240,-78.63980522,35.7766845,M,
3455495,04092013988,Cook Out #25,3930 Western Blv ,,RALEIGH,NC,27606,(919) 821-2926,2004/02/18 05:00:00+00,Restaurant,4244,-78.69305829,35.78482975,M,
3455496,04092040137,A Taste of New York #1 (WCID #163),506 W Johnson  ST ,Plus Dueling Piano Bar 10pm-3am,RALEIGH,NC,27603,(919) 846-9863,2004/02/19 05:00:00+00,Pushcarts,4246,-78.64625514,35.78813267,M,
3455497,04092021254,Domino's Pizza #8980,2881 Jones Franklin Rd ,,RALEIGH,NC,27606,(919) 235-0808,2004/02/05 05:00:00+00,Food Stand,4250,-78.73666445,35.74405202,M,
3455498,04092013994,Beansprout Chinese Restaurant,3721 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-0554,2004/02/23 05:00:00+00,Restaurant,4265,-78.68759163,35.79393767,M,
3455499,04092110104,Jeffreys Grove Elem. Cafeteria,6119 CREEDMOOR RD,,RALEIGH,NC,27612-2210,(919) 881-4910 ext. 25820,1996/08/19 04:00:00+00,Public School Lunchrooms,4294,-78.68095421,35.86826108,M,
3455500,04092110105,Jones Dairy Elem. Sch. Cafeteria,1100 JONES DAIRY RD ,,WAKE FOREST,NC,27587-9055,(919) 562-6181 ext. 23998,1996/08/22 04:00:00+00,Public School Lunchrooms,4295,-78.47194744,35.94970988,M,
3455501,04092011879,El Dorado #8,8111 CREEDMOOR RD ,ste.161,RALEIGH,NC,27613-4389,(919) 848-0788,1996/05/31 04:00:00+00,Restaurant,4303,-78.68248846,35.8985009,M,
3455502,04092011875,Goodberry's,9700 STRICKLAND RD,,RALEIGH,NC,27615-1939,(919) 676-8580,1996/05/17 04:00:00+00,Restaurant,4311,-78.65695904,35.90221748,M,
3455503,04092011862,Zebulon BP Grill,603 W GANNON AVE,,ZEBULON,NC,27597-2511,(919) 375-5200,1996/04/25 04:00:00+00,Restaurant,4344,-78.32832015,35.81991106,M,
3455504,04092011880,Caffe Luna,136 E HARGETT ST,,RALEIGH,NC,27601-1440,(919) 832-6090,1996/04/30 04:00:00+00,Restaurant,4359,-78.6368973,35.77800001,M,
3455505,04092011828,Taco Bell,1384 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5283,1996/01/02 05:00:00+00,Restaurant,4399,-78.7742087,35.59204904,M,
3455506,04092021215,Food Lion #2534 Meat Market/Seafood,13200 New Falls Of Neuse Rd,,RALEIGH,NC,27614,(919) 562-8912,2003/09/04 04:00:00+00,Food Stand,4024,-78.55982173,35.94075522,M,
3455507,04092011788,Taco Bell,2748 Capital BLVD ,,RALEIGH,NC,27604-1510,(919) 832-6450,1995/12/14 05:00:00+00,Restaurant,4456,-78.59785732,35.81729325,M,
3455508,04092020713,Harris Teeter #257 Produce,2080 KILDAIRE FARM RD ,,CARY,NC,27511-6614,(919) 233-9483,1996/02/16 05:00:00+00,Food Stand,4449,-78.78068643,35.73567118,M,
3455509,04092011804,Taco Bell of Knightdale,7036 Knightdale Blvd,,KNIGHTDALE,NC,27545-8800,(919) 217-9524,1996/01/03 05:00:00+00,Restaurant,4482,-78.49388935,35.79807017,M,
3455510,04092011784,Taco Bell,8801 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 870-9107,1995/12/05 05:00:00+00,Restaurant,4462,-78.65212104,35.89979648,M,
3455511,04092110101,Hodge Road Elementary Cafeteria,2128 Mingo Bluff Blvd,,KNIGHTDALE,NC,27545,(919) 266-8599 ext. 21541,1995/09/12 04:00:00+00,Public School Lunchrooms,4494,-78.52263417,35.77684759,M,
3455512,04092110102,Hilburn Academy Cafeteria,7100 HILBURN DR ,,RALEIGH,NC,27613-4139,(919) 571-6800 ext. 26026,1995/11/08 05:00:00+00,Public School Lunchrooms,4514,-78.71430644,35.87483807,M,
3455513,04092011723,Korner Cafe Food Court,4420 Lake Boone TRL ,,RALEIGH,NC,27607-7505,(919) 784-3401,1995/08/23 04:00:00+00,Restaurant,4528,-78.70241812,35.81817357,M,
3455514,04092012212,Starbucks #8270,7498 CREEDMOOR RD ,,RALEIGH,NC,27613-1664,(919) 846-0633,1998/03/25 04:00:00+00,Restaurant,4587,-78.67810638,35.88786089,M,
3455515,04092110108,Timber Drive Elementary Cafeteria,1601 TIMBER DR,,GARNER,NC,27529-4778,(919) 773-9515 ext. 21307,1997/06/30 04:00:00+00,Public School Lunchrooms,4615,-78.63688691,35.68985294,M,
3455516,04092300094,Harris Teeter #21 Meat Market,500 OBERLIN RD ,,RALEIGH,NC,27605-1327,(919) 828-9216,1994/11/01 04:00:00+00,Meat Market,4628,-78.66105997,35.79149825,M,
3455517,04092013020,La Farm Bakery,4248 NW CARY PKY ,,CARY,NC,27513-8478,(919) 657-0657,1999/10/13 04:00:00+00,Restaurant,4633,-78.82751593,35.79057967,M,
3455518,04092013023,Residence Inn-Crabtree Foodservice,2200 SUMMIT PARK LN ,,RALEIGH,NC,27612-4653,(919) 279-3000,1999/10/13 04:00:00+00,Restaurant,4641,-78.6756247,35.834583,M,
3455519,04092013024,Sushi Blues Cafe,301 GLENWOOD AVE ,Suite 110,RALEIGH,NC,27603-1452,(919) 664-8061,1999/11/02 04:00:00+00,Restaurant,4645,-78.64802898,35.78456842,M,
3455520,04092013025,Points West Cafe at Wake Med Cary,1900 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 350-2736,1999/11/04 04:00:00+00,Restaurant,4646,-78.78171676,35.74074768,M,
3455521,04092013106,Sawmill Tap Room,7701 LEAD MINE RD,,RALEIGH,NC,27615-4829,(919) 845-7889,2000/01/14 05:00:00+00,Restaurant,4653,-78.66032638,35.88500882,M,
3455522,04092013238,Los Tres Magueyes # 4,12400 WAKE UNION CHURCH RD ,SUITE 101,WAKE FOREST,NC,27587-4509,(919) 554-2554,2000/11/21 05:00:00+00,Restaurant,4668,-78.53897033,35.98314387,M,
3455523,04092013321,Legislative Office Bldg. Snack Bar,300 N Salisbury St ,,RALEIGH,NC,27603-5925,(919) 715-6409,2001/04/30 04:00:00+00,Restaurant,4688,-78.63882022,35.78561401,M,
3455524,04092013236,Reale,2805 Highwoods Blv ,,RALEIGH,NC,27604-1002,(919) 872-3500,2000/11/27 05:00:00+00,Restaurant,4665,-78.60147607,35.81782408,M,
3455525,04092021066,Circle K #8527,2100 E Millbrook Rd,,RALEIGH,NC,27604-1743,(919) 850-9776,2001/05/03 04:00:00+00,Food Stand,4710,-78.60121474,35.84847,M,
3455526,04092021264,Han-Dee Hugo's #90,3029 Western BLVD ,,RALEIGH,NC,27606,(919) 833-5062,2004/04/14 04:00:00+00,Food Stand,4765,-78.67875729,35.78168076,M,
3455527,04092014015,The Third Place,1811 Glenwood Ave ,,RALEIGH,NC,27608,(919) 834-6566,2004/04/01 04:00:00+00,Restaurant,4769,-78.64652514,35.80484566,M,
3455528,04092014019,Jason's Deli,8421-101 Brier Creek Pky ,,RALEIGH,NC,27617,(919) 572-9996,2004/04/07 04:00:00+00,Restaurant,4770,-78.78334835,35.9068519,M,
3455529,04092040141,CALDRONE HOT DOGS #2 (WCID #220),1025 BLUE RIDGE RD ,,RALEIGH,NC,27607-3902,(919) 649-6385,2004/03/09 05:00:00+00,Pushcarts,4742,-78.71515946,35.79630442,M,
3455530,04092014031,China King,1861 Aversboro RD ,,GARNER,NC,27529,(919) 771-1141,2004/04/26 04:00:00+00,Restaurant,4794,-78.61583865,35.68506427,M,
3455531,04092014045,Chinatown Express,5800 Duraleigh Rd ,,RALEIGH,NC,27612,,2004/04/28 04:00:00+00,Restaurant,4803,-78.71190154,35.85736049,M,
3455532,04092014041,N.Y. Bagels & Deli,7909-121 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 848-1310,2004/05/04 04:00:00+00,Restaurant,4799,-78.62599455,35.89329706,M,
3455533,04092014046,Overtime Sports Pub,1030-149 N Rogers Ln ,,RALEIGH,NC,27610,(919) 255-9556,2004/05/04 04:00:00+00,Restaurant,4804,-78.54837151,35.79167791,M,
3455534,04092014028,King Chef,4644 Capital BLVD ,,RALEIGH,NC,27604,(919) 876-5859,2004/04/19 04:00:00+00,Restaurant,4812,-78.57926433,35.84834257,M,
3455535,04092021269,Han-Dee Hugo's #95,8109 Falls Of Neuse Rd,,RALEIGH,NC,27615,(919) 847-7689,2004/04/26 04:00:00+00,Food Stand,4808,-78.62309239,35.89440481,M,
3455536,04092014050,Carmen's Cuban Cafe,108 Factory Shops Rd,,MORRISVILE,NC,27560,(919) 467-8080,2004/05/14 04:00:00+00,Restaurant,4821,-78.81829034,35.86238182,M,
3455537,04092014064,Holy Trinity Greek Orthodox Church Kitchen,5000 Lead Mine Rd ,,RALEIGH,NC,27612,(919) 781-4548,2004/06/02 04:00:00+00,Restaurant,4844,-78.67202971,35.84928665,M,
3455538,04092021272,Moe's Southwest Grill,4325 Glenwood Ave ,Suite 2037,RALEIGH,NC,27612,(919) 235-4550,2004/05/01 04:00:00+00,Food Stand,4867,-78.67900996,35.83931725,M,
3455539,04092014071,Wang's Kitchen,1030-109 N Rogers Ln ,,RALEIGH,NC,27610,(919) 792-0788,2004/06/18 04:00:00+00,Restaurant,4884,-78.54837151,35.79167791,M,
3455540,04092014075,Buffalo Brothers,3111 Capital Blv,,RALEIGH,NC,27604,(919) 878-4800,2004/06/18 04:00:00+00,Restaurant,4889,-78.59044224,35.82314249,M,
3455541,04092014078,Chuck E Cheese,3501-131 Capital Blv,,RALEIGH,NC,27604,(919) 850-9241,2004/06/24 04:00:00+00,Restaurant,4892,-78.58692931,35.82783317,M,
3455542,04092110144,Heritage Middle School Cafeteria,3400 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-6204 ext. 22509,2004/07/08 04:00:00+00,Public School Lunchrooms,4902,-78.51187685,35.94769505,M,
3455543,04092110145,Turner Creek Elementary Cafeteria,6801 Turner Creek Rd ,,CARY,NC,27519,(919) 363-1399,2004/07/09 04:00:00+00,Public School Lunchrooms,4907,-78.87522181,35.77275976,M,
3455544,04092110146,Highcroft Elementary Cafeteria,5415 Highcroft Dr ,,CARY,NC,27519,(919) 460-3580,2004/07/12 04:00:00+00,Public School Lunchrooms,4910,-78.88408865,35.80071618,M,
3455545,04092014085,HOOTERS,1001 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 469-2900,2004/07/13 04:00:00+00,Restaurant,4912,-78.82295583,35.85640683,M,
3455546,04092014090,Moe's Southwest Grill,7850-115 Alexander Promonade Pl ,,RALEIGH,NC,27617,(919) 957-9075,2004/07/14 04:00:00+00,Restaurant,4925,-78.77695584,35.91424048,M,
3455547,04092021282,WalMart #5254 Deli,2114 S Main St ,,WAKE FOREST,NC,27587,(919) 562-2921,2004/07/15 04:00:00+00,Food Stand,4929,-78.53503308,35.95207713,M,
3455548,04092014103,Red Robin #306,7860 Alexander Promenade Pl ,,RALEIGH,NC,27617,(919) 957-2880,2004/07/23 04:00:00+00,Restaurant,4934,-78.77695584,35.91424048,M,
3455549,04092110147,Knightdale High School Cafeteria,100 Bryan Chalk Ln ,,KNIGHTDALE,NC,27545,(919) 217-5350 ext. 25130,2004/07/26 04:00:00+00,Public School Lunchrooms,4935,-78.47682094,35.81057807,M,
3455550,04092021288,Harris Teeter #43 Meat Market & Seafood,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 04:00:00+00,Food Stand,4945,-78.50482784,35.94464405,M,
3455551,04092030110,A Taste of New York #4 (WCID #007),301-H W Hargett ST ,,RALEIGH,NC,27602,(919) 846-9863,2004/04/01 04:00:00+00,Mobile Food Units,4759,-78.64353827,35.7783584,M,
3455552,04092021289,Harris Teeter #43 Produce,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 04:00:00+00,Food Stand,4944,-78.50482784,35.94464405,M,
3455553,04092021287,Harris Teeter #43 Deli,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 04:00:00+00,Food Stand,4946,-78.50482784,35.94464405,M,
3455554,04092110148,Forestville Elementary School Cafeteria,7125 Forestville Rd,,KNIGHTDALE,NC,27545,(919) 266-8487 ext. 22995,2004/08/06 04:00:00+00,Public School Lunchrooms,4950,-78.48336394,35.80934566,M,
3455555,04092110150,Carpenter Elementary School Cafeteria,2100 Morrisville Pky ,,CARY,NC,27519,(919) 462-6785,2004/08/04 04:00:00+00,Public School Lunchrooms,4948,-78.8668844,35.81490775,M,
3455556,04092050026,St Mary Magdalene School Cafeteria,625 Magdala PL ,,APEX,NC,27502,(919) 657-4800,2004/08/13 04:00:00+00,Private School Lunchrooms,4965,-78.87448823,35.72423168,M,
3455557,04092110149,Kingswood Elem. Sch. Cafeteria,200 E Johnson ST ,,CARY,NC,27511,(919) 460-3481,2004/08/09 04:00:00+00,Public School Lunchrooms,4959,-78.7783156,35.79284093,M,
3455558,04092014115,Sam's Club #8223 Cafe,2537 S Saunders St,,RALEIGH,NC,27603,(919) 839-1700,2004/08/24 04:00:00+00,Restaurant,4971,-78.64662048,35.75036893,M,
3455559,04092014114,The Handy Kitchen,9101-113 Leesville Rd,,RALEIGH,NC,27613,(919) 518-1063,2004/08/12 04:00:00+00,Restaurant,4970,-78.72548111,35.89676189,M,
3455560,04092030117,Pupuseria El Salvador (WCID #403),15 Jones Franklyn RD ,,RALEIGH,NC,27606,(919) 625-4405,2004/08/20 04:00:00+00,Mobile Food Units,4973,-78.72110136,35.78550375,M,
3455561,04092030118,Taqueria Lo Mejor Acapulco #1 (WCID #448),8228 Ridgeback RD ,M-F 11am-3pm,APEX,NC,27523,(919) 327-8932,2004/07/28 04:00:00+00,Mobile Food Units,4985,-78.91775664,35.78221876,M,
3455562,04092021291,WalMart #5292 Deli,4431 New Bern AVE ,,RALEIGH,NC,27610,(919) 212-6442,2004/08/24 04:00:00+00,Food Stand,4990,-78.56000658,35.80046199,M,
3455563,04092110151,Wake Forest Elem. Sch. Cafeteria,136 W Sycamore St ,,WAKE FOREST,NC,27587,(919) 554-8671,2004/08/25 04:00:00+00,Public School Lunchrooms,4987,-78.5145445,35.97682679,M,
3455564,04092020916,Papa John's #619,5260 Capital Blv,,RALEIGH,NC,27616-3232,(919) 872-7575,2000/01/14 05:00:00+00,Food Stand,5020,-78.58018191,35.85814357,M,
3455565,04092014119,HONG KONG CHINESE KITCHEN,5563 WESTERN  BLVD ,Suite 11-A,RALEIGH,NC,27606,(919) 851-1505,2004/08/26 04:00:00+00,Restaurant,4992,-78.72050862,35.78412834,M,
3455566,04092013101,CAPITAL CITY CHOP HOUSE,151 AIRGATE DR,,MORRISVILLE,NC,27560-8495,(919) 484-7721,2000/02/02 05:00:00+00,Restaurant,5024,-78.81478791,35.8634455,M,
3455567,04092013047,Wake Forest BP Restaurant,103 N WHITE ST,,WAKE FOREST,NC,27587-2645,(919) 554-2294,1999/11/17 05:00:00+00,Restaurant,5046,-78.509346,35.97984104,M,
3455568,04092013028,PNC Arena Main Kitchen,1400 Edwards Mill RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5048,-78.72293853,35.80324451,M,
3455569,04092300140,Whole Foods Market Meat Market,102 B New Waverly Pl ,,CARY,NC,27511,(816) 883-0,2000/05/09 04:00:00+00,Meat Market,5075,-78.77852676,35.7366694,M,
3455570,04092020945,Cook Out,1607 WALNUT ST,,CARY,NC,27511-5928,(919) 319-5414,2000/05/16 04:00:00+00,Food Stand,5082,-78.7480902,35.76411252,M,
3455571,04092040085,Jim's Ole Time Hot Dogs (WCID #454),2000 WALNUT ST,,CARY,NC,27511-9230,(919) 924-4625,2000/12/14 05:00:00+00,Pushcarts,5094,-78.74296252,35.75728068,M,
3455572,04092021045,Cook Out,3244 Capital BLVD ,,RALEIGH,NC,27604-3338,(919) 862-8281,2000/12/08 05:00:00+00,Food Stand,5105,-78.58721066,35.82374666,M,
3455573,04092013151,Whole Foods Market Deli-Sushi-Cheese,102 B New Waverly Pl ,,CARY,NC,27511,(919) 816-8830,2000/05/05 04:00:00+00,Restaurant,5076,-78.77852676,35.7366694,M,
3455574,04092020943,Whole Foods Market Seafood Shop,102  New Waverly Place ,#B,CARY,NC,27511,(919) 816-8830,2000/05/09 04:00:00+00,Food Stand,5078,-78.77852676,35.7366694,M,
3455575,04092013248,Taco Bell / KFC 3248,5434 SIX FORKS RD ,,RALEIGH,NC,27609-4436,(919) 781-5458,2000/12/15 05:00:00+00,Restaurant,5106,-78.64059755,35.85499399,M,
3455576,04092013281,Taste Of China,1321 5TH AVE ,,GARNER,NC,27529-3637,(919) 779-7727,2001/02/19 05:00:00+00,Restaurant,5112,-78.62278807,35.70820461,M,
3455577,04092020944,Whole Foods Market Produce Shop,102  New Waverly Place ,#B,CARY,NC,27511,(919) 816-8830,2000/05/09 04:00:00+00,Food Stand,5079,-78.77852676,35.7366694,M,
3455578,04092040087,Fancy Dogs #2 (WCID #106),3200 Gresham Lake RD ,STE 117,RALEIGH,NC,27615,(919) 426-3196,2001/01/05 05:00:00+00,Pushcarts,5116,-78.58228724,35.88437057,M,
3455579,04092020941,Papa John's #1579,14460 New Falls of Neuse Rd,Ste 115,RALEIGH,NC,27614-8227,(919) 488-7272,2000/04/28 04:00:00+00,Food Stand,5072,-78.54362149,35.94386897,M,
3455580,04092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,,FUQUAY VARINA,NC,27526-8923,(919) 577-6361,2001/03/08 05:00:00+00,Restaurant,5140,-78.75761886,35.58333855,M,
3455581,04092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,,RALEIGH,NC,27609,(919) 334-2222,2001/07/05 04:00:00+00,Restaurant,5173,-78.61848048,35.86397574,M,
3455582,04092110098,DURANT ROAD MIDDLE SCHOOL CAFETERIA,10401 DURANT RD ,,RALEIGH,NC,27614-9706,(919) 518-0103,1995/07/07 04:00:00+00,Public School Lunchrooms,5178,-78.5882399,35.90237023,M,
3455583,04092011708,Korner Pocket,8508 CAPITAL BLVD,,RALEIGH,NC,27616-3150,(919) 876-9879,1995/07/14 04:00:00+00,Restaurant,5236,-78.55805483,35.89527831,M,
3455584,04092011682,Salsa Fresh Mexican Grill,5910 DURALEIGH RD ,,RALEIGH,NC,27612-2580,(919) 571-9111,1995/04/25 04:00:00+00,Restaurant,5238,-78.71199827,35.85872108,M,
3455585,04092020585,SPEEDWAY #6984,1470 US 70 HWY W ,,GARNER,NC,27529,(919) 779-5952,1994/01/05 05:00:00+00,Food Stand,5315,-78.64320848,35.72221819,M,
3455586,04092012875,Ruckus Pizza,2233 AVENT FERRY RD ,,RALEIGH,NC,27606-2138,(919) 835-2002,1999/02/18 05:00:00+00,Restaurant,5341,-78.67605304,35.77835842,M,
3455587,04092012890,High Park Bar and Grill,625 E WHITAKER MILL RD,,RALEIGH,NC,27608-2635,(919) 833-4527,1999/03/17 04:00:00+00,Restaurant,5355,-78.6305369,35.8074925,M,
3455588,04092012896,CITY CLUB RALEIGH,150 Fayetteville St,Suite 2800,RALEIGH,NC,27601,(919) 834-8829,1999/03/04 05:00:00+00,Restaurant,5361,-78.63970739,35.7787201,M,
3455589,04092300121,Sam's Club #6570 Meat Market,3001 Calvary DR ,,RALEIGH,NC,27604-2801,(919) 874-0112,1998/05/14 04:00:00+00,Meat Market,5440,-78.58500532,35.84648891,M,
3455590,04092012007,Bee Hive Cafe,3800 HILLSBOROUGH ST ,,RALEIGH,NC,27607-5237,(919) 829-8328 ext. 8328,1997/01/31 05:00:00+00,Restaurant,5412,-78.68916146,35.799967,M,
3455591,04092012231,Knights Play Golf Center,2512 Ten Ten Rd,,APEX,NC,27502,(919) 303-3747,1998/04/27 04:00:00+00,Restaurant,5444,-78.81416418,35.71128077,M,
3455592,04092013029,PNC CLUB KITCHEN,1400 EDWARDS MILL RD,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5460,-78.72293853,35.80324451,M,
3455593,04092013049,PNC 112 (Mexican),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5461,-78.72293853,35.80324451,M,
3455594,04092013054,PNC 103-105,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5463,-78.72293853,35.80324451,M,
3455595,04092013055,PNC 109,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5464,-78.72293853,35.80324451,M,
3455596,04092013056,PNC 130,1400 EDWARDS MILL RD,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5465,-78.72293853,35.80324451,M,
3455597,04092013053,PNC 114,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5462,-78.72293853,35.80324451,M,
3455598,04092013057,PNC Buena Papa 301,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5469,-78.72293853,35.80324451,M,
3455599,04092013059,PNC 310,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,5471,-78.72293853,35.80324451,M,
3455600,04092013060,PNC 329,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/29 04:00:00+00,Restaurant,5472,-78.72293853,35.80324451,M,
3455601,04092013061,PNC 318,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/29 04:00:00+00,Restaurant,5473,-78.72293853,35.80324451,M,
3455602,04092013062,PNC 118-120,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/12/07 05:00:00+00,Restaurant,5474,-78.72293853,35.80324451,M,
3455603,04092013091,Burger King #12979,3101 INTEGRITY DR ,,GARNER,NC,27529-8599,(919) 661-7718,2000/01/21 05:00:00+00,Restaurant,5511,-78.58226016,35.72489085,M,
3455604,04092013070,Jersey Mikes Restaurant,4542 Capital BLVD ,,RALEIGH,NC,27604-4353,(919) 790-7827,1999/11/17 05:00:00+00,Restaurant,5514,-78.57896431,35.84571465,M,
3455605,04092013079,Kadhai-The Indian Wok,6260 GLENWOOD AVE ,Ste 12,RALEIGH,NC,27612-2650,(919) 785-9730,1992/07/29 04:00:00+00,Restaurant,5522,-78.70313537,35.85876533,M,
3455606,04092013116,Overlook Cafe,"701 SAS Campus Dr, Bldg T",,CARY,NC,27513,(919) 531-4827,2000/03/07 05:00:00+00,Restaurant,5547,-78.75221678,35.8233135,M,
3455607,04092013111,The Flying Saucer Restaurant,328 W MORGAN ST ,,RALEIGH,NC,27601-1369,(919) 821-7401,2000/02/25 05:00:00+00,Restaurant,5553,-78.64477322,35.78005933,M,
3455608,04092013082,1853 Grille,1025 BLUE RIDGE RD ,,RALEIGH,NC,27607-3902,(919) 524-2401,1999/11/01 04:00:00+00,Restaurant,5529,-78.71515946,35.79630442,M,
3455609,04092013137,SUBWAY #22217,1601 CROSS LINK RD,,RALEIGH,NC,27610-4186,(919) 835-1555,2000/03/20 04:00:00+00,Restaurant,5560,-78.6148089,35.7548246,M,
3455610,04092020929,Speedway #6983,850 CAPITAL BLVD,,RALEIGH,NC,27603-1108,(919) 832-8478,2000/04/19 04:00:00+00,Food Stand,5562,-78.64153515,35.79244442,M,
3455611,04092020927,BJ's Wholesale Club Deli & Meat Market,2370 WALNUT ST ,,CARY,NC,27518,(919) 854-2777,2000/03/31 04:00:00+00,Food Stand,5602,-78.74427277,35.7532321,M,
3455612,04092013127,Arena Cafe- Cisco Bldg 7,7100 KIT CREEK RD ,,MORRISVILLE,NC,27560,(919) 699-6109,2000/04/01 04:00:00+00,Restaurant,5618,-78.87552982,35.85784809,M,
3455613,04092013122,McDonald's #14342,3026 Capital BLVD ,,RALEIGH,NC,27604-3334,(919) 878-0701,2000/03/11 05:00:00+00,Restaurant,5622,-78.5911294,35.82041524,M,
